0,1,2,3,4,5
1427271381343,81,50,68,56,50
1427271493299,66,53,72,66,68
1427271677715,56,31,81,62,100
1427271694078,81,31,93,81,56
1427271935977,81,31,75,43,56
1427272092080,0,6,25,12,25
1427272223944,31,56,56,56,25
1427272384782,70,66,76,89,84
1427272514763,50,62,62,37,81
1427272626810,43,56,93,56,87
1427272704504,61,73,71,58,71
1427273327971,81,62,81,56,25
1427273336105,36,93,58,73,86
1427273894080,16,17,17,16,10
1427273916108,43,25,50,75,62
1427274036096,0,0,0,0,0
1427274392389,75,56,62,37,56
1427275064646,75,12,75,87,25
1427275127753,65,70,68,57,72
1427275177991,68,56,56,50,68
1427275288515,78,50,60,68,65
1427275419633,43,12,43,50,43
1427275421578,0,0,0,0,0
1427275519899,75,50,75,50,31
1427275598009,5,4,6,0,0
1427275867946,100,56,93,81,56
1427276167405,75,37,68,87,100
1427276180594,10,8,8,5,2
1427276328759,46,80,73,53,72
1427276384194,62,75,50,50,37
1427276960239,75,75,75,50,50
1427277162426,75,100,81,100,93
1427277396420,87,75,100,81,68
1427277551719,68,12,50,31,31
1427277853234,63,75,63,68,48
1427277894052,93,62,62,93,68
1427277942264,58,93,61,65,78
1427278143099,87,75,62,81,81
1427278146503,37,87,62,87,81
1427278411515,43,68,56,56,43
1427278450732,81,87,81,75,37
1427278807618,6,0,0,0,0
1427279055137,75,50,68,75,87
1427279178796,25,25,18,12,6
1427279378889,87,81,87,50,37
1427279523792,75,62,56,62,50
1427279695778,81,68,75,68,37
1427279977317,87,81,87,50,37
1427280200463,73,53,50,58,73
1427280293026,10,8,10,6,6
1427281418907,66,73,77,81,74
1427281439911,81,56,100,68,31
1427281468879,75,37,56,62,68
1427282165480,75,75,62,87,50
1427282780892,70,61,74,70,61
1427283331030,0,0,0,0,0
1427283433269,0,0,0,0,0
1427283491317,93,87,68,62,75
1427283569117,75,45,56,65,56
1427283731611,43,50,62,37,25
1427284093403,75,75,68,62,31
1427284528520,93,87,75,87,100
1427284547962,66,48,58,53,46
1427284670248,0,0,0,0,0
1427284726243,63,56,56,65,65
1427285314343,50,25,50,18,6
1427285550650,43,18,81,75,37
1427285618482,93,87,43,56,56
1427285687993,93,56,75,62,6
1427285832940,46,77,74,65,68
1427285988382,87,62,62,75,75
1427286223011,43,56,81,81,56
1427286227020,87,56,75,75,43
1427286779119,5,4,0,0,0
1427286818177,50,50,87,75,62
1427287815160,87,25,75,87,81
1427288189827,62,62,43,87,68
1427288483842,37,50,87,87,100
