62,12,75
51,66,63
75,50,50
43,56,48
62,61,61
0,0,0
81,87,87
100,37,81
62,25,87
51,75,63
62,56,56
70,43,50
68,62,87
68,43,75
77,66,54
88,50,58
37,31,81
12,12,13
6,6,0
18,18,8
31,56,68
76,68,61
87,18,50
68,50,56
25,25,56
0,0,0
58,33,69
77,66,81
50,75,68
44,74,69
48,73,63
93,75,56
46,33,53
81,43,75
75,50,68
51,83,63
93,93,93
87,43,81
50,43,75
87,43,81
5,1,0
33,26,32
60,71,61
50,56,68
18,87,87
68,43,93
0,0,0
50,62,68
75,43,75
68,81,62
73,68,83
56,6,68
69,68,80
77,60,66
68,63,70
87,56,68
87,81,100
87,43,62
87,56,81
68,68,87
87,50,50
31,37,75
61,42,68
85,63,60
1,2,0
